Sender;Emfpänger;Sendeort vor 1710 (Name) ;Sendeort vor 1710 (lat-long) ;Sendeort unklar (Name);Sendeort unklar (lat-long);Sendeort nach 1710 (Name);Sendeort nach 1710 (lat-long) ;Empfangsort (unzuverlässig) ;Empfangsort (lat-long);Datum
Scharschmidt, Justus Samuel;Francke, August Hermann;Moskau;55.7504461, 37.6174943;;;;;Moskau;;1703.05.12
Scharschmidt, Justus Samuel;Francke, August Hermann;Archangelsk;64.543022, 40.537121;;;;;Archangelsk;;1703.06.30
Scharschmidt, Justus Samuel;Francke, August Hermann;Archangelsk;64.543022, 40.537121;;;;;Archangelsk;;1703.07.13
Scharschmidt, Justus Samuel;Francke, August Hermann;Archangelsk;64.543022, 40.537121;;;;;"Archangelsk; Simbirsk; Moskau";;1703.09.20
Scharschmidt, Justus Samuel;Francke, August Hermann;Moskau;55.7504461, 37.6174943;;;;;"Archangelsk; Moskau";;1703.11.23
Scharschmidt, Justus Samuel;Francke, August Hermann;Moskau;55.7504461, 37.6174943;;;;;Moskau;;1703.12.22
Scharschmidt, Justus Samuel;Francke, August Hermann;Moskau;55.7504461, 37.6174943;;;;;Moskau;;1704.01.24
Scharschmidt, Justus Samuel;Francke, August Hermann;Moskau;55.7504461, 37.6174943;;;;;"Moskau; Kasan; Astrachan; Halle (Saale)";;1704.01.29
Scharschmidt, Justus Samuel;Francke, August Hermann;Moskau;55.7504461, 37.6174943;;;;;"Moskau; Stockholm";;1704.03.08
Scharschmidt, Justus Samuel;Francke, August Hermann;Moskau;55.7504461, 37.6174943;;;;;Moskau;;1704.03.08
Scharschmidt, Justus Samuel;unknown;Moskau;55.7504461, 37.6174943;;;;;"Moskau; Waronitz; Archangelsk";;1704.03.20
Scharschmidt, Justus Samuel;Francke, August Hermann;Moskau;55.7504461, 37.6174943;;;;;Moskau;;1704.07.19
Scharschmidt, Justus Samuel;Francke, August Hermann;Moskau;55.7504461, 37.6174943;;;;;"Moskau; Kasan; Sankt Petersburg";;1705
Scharschmidt, Justus Samuel;Francke, August Hermann;Moskau;55.7504461, 37.6174943;;;;;"Moskau; Narva";;1705.01.23
Scharschmidt, Justus Samuel;Francke, August Hermann;Moskau;55.7504461, 37.6174943;;;;;"Moskau; Prag; Halle (Saale); Narwa";;1705.02.16
Scharschmidt, Justus Samuel;Francke, August Hermann;Moskau;55.7504461, 37.6174943;;;;;"Moskau; Narva";;1705.03.13
Scharschmidt, Justus Samuel;unknown;Moskau;55.7504461, 37.6174943;;;;;Moskau;;1705.03.28
Scharschmidt, Justus Samuel;Francke, August Hermann;Moskau;55.7504461, 37.6174943;;;;;"Moskau; Astrachan";;1705.08.29
Scharschmidt, Justus Samuel;Francke, August Hermann;Moskau;55.7504461, 37.6174943;;;;;"Moskau; Astrachan";;1705.11.28
Scharschmidt, Justus Samuel;Francke, August Hermann;Moskau;55.7504461, 37.6174943;;;;;Moskau;;1706
Scharschmidt, Justus Samuel;Francke, August Hermann;Moskau;55.7504461, 37.6174943;;;;;Moskau;;1706.01.22
Scharschmidt, Justus Samuel;Francke, August Hermann;Moskau;55.7504461, 37.6174943;;;;;"Moskau; Halle (Saale)";;1706.02.25
Scharschmidt, Justus Samuel;Francke, August Hermann;Moskau;55.7504461, 37.6174943;;;;;"Moskau; Halle (Saale)";;1706.04.03
Scharschmidt, Justus Samuel;Francke, August Hermann;Moskau;55.7504461, 37.6174943;;;;;Moskau;;1706.04.14
Scharschmidt, Justus Samuel;Francke, August Hermann;Moskau;55.7504461, 37.6174943;;;;;"Moskau; Thessaloniki";;1706.11.25
Scharschmidt, Justus Samuel;Francke, August Hermann;Moskau;55.7504461, 37.6174943;;;;;Moskau;;1707.01.24
Scharschmidt, Justus Samuel;Francke, August Hermann;Moskau;55.7504461, 37.6174943;;;;;Moskau;;1707.02.01
Scharschmidt, Justus Samuel;unknown;Moskau;55.7504461, 37.6174943;;;;;"Moskau; Halle (Saale)";;1707.04.22
Scharschmidt, Justus Samuel;Francke, August Hermann;Moskau;55.7504461, 37.6174943;;;;;"Moskau; Astrachan";;1707.06.16
Scharschmidt, Justus Samuel;Francke, August Hermann;Astrachan;46.349854, 48.031567;;;;;Astrachan;;1708.02.03
Scharschmidt, Justus Samuel;Francke, August Hermann;Astrachan;46.349854, 48.031567;;;;;Astrachan;;1708.12.29
Scharschmidt, Justus Samuel;Francke, August Hermann;Astrachan;46.349854, 48.031567;;;;;"Astrachan; Terek <Ort>";;1709.07.22
Scharschmidt, Justus Samuel;Francke, August Hermann;Terek;43.1393989, 44.5848225;;;;;"Terek <Ort>; Astrachan; Jerusalem";;1709.10.28
Scharschmidt, Justus Samuel;Francke, August Hermann;Terek;43.1393989, 44.5848225;;;;;"Terek <Ort>; Jerusalem; Saratow; Astrachan";;1709.12.05
Scharschmidt, Justus Samuel;Francke, August Hermann;Terek;43.1393989, 44.5848225;;;;;"Terek <Ort>; Jerusalem; Saratow; Astrachan";;1709.12.05
Scharschmidt, Justus Samuel;unknown;;;;;Astrachan;46.349854, 48.031567;"Russland; Astrachan";46.349854, 48.031567;1710
"Gründler, Johann Christian; Scharschmidt, Justus Samuel";Francke, August Hermann;;;Sclaboda [Slaboda?];52.209782, 28.391331;;;"Astrachan; Halle (Saale); Sclaboda; Terek <Ort>";;1710.01.11
Scharschmidt, Justus Samuel;Scharschmidt, Christian Friedrich;;;;;Terek;43.1393989, 44.5848225;"Terek <Ort>; Astrachan";;1710.03.20
Scharschmidt, Justus Samuel;Francke, August Hermann;;;;;Terek;43.1393989, 44.5848225;"Terek <Ort>; Astrachan";;1710.03.20
Scharschmidt, Justus Samuel;Francke, August Hermann;;;;;Astrachan;46.349854, 48.031567;"Astrachan; Persien; Indien";;1711.01.12
Scharschmidt, Justus Samuel;Francke, August Hermann;;;;;Moskau;55.7504461, 37.6174943;"Moskau; Terek <Ort>; Astrachan";;1712.10.08
